adb server is out of date.  killing...
03-21 23:37:11.104 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:11.104 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:11.104 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:11.104 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:11.105  9757 10680 D JavaheapMonitor: Java heap used=7M max=512M, proc: com.android.providers.media.module
03-21 23:37:11.105  9757 10680 V JavaheapMonitor: Check java heap usage finished! Next check delay: 300000
03-21 23:37:11.105 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:11.105 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:11.105 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:11.106 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:11.106 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:11.106 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:11.106 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:11.107 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:11.107 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:11.107 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:11.107 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:11.107 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:11.108 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:11.108 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:11.108 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:11.109 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:11.109 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:11.109 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:11.109 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:11.110 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:11.110 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:11.110 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:11.110 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:11.110 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:11.111 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:11.111 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:11.111 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:11.112 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:11.112 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:11.112 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:11.112 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:11.113 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:11.113 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:11.113 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:11.113 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:11.113 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:11.114 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:11.114 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:11.114 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:11.114 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:11.114 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:11.114 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:11.115 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:11.116 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:11.116 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:11.116 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:11.116 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:11.116 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:11.117 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:11.117 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:11.117 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:11.117 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:11.117 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:11.117 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:11.118 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:11.118 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:11.118 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:11.119 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:11.119 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:11.119 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:11.119 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:11.120 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:11.120 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:11.120 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:11.120 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:11.120 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:11.121 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:11.121 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:11.121 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:11.122 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:11.122 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:11.122 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:11.122 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:11.123 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:11.123 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:11.123 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:11.123 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:11.123 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:11.124 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:11.124 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:11.124 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:11.125 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:11.125 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:11.125 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:11.125 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:11.126 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:11.126 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:11.126 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:11.126 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:11.126 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:11.127 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:11.127 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:11.127 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:11.128 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:11.128 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:11.128 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:11.128 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:11.129 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:11.129 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:11.129 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:11.129 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:11.129 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:11.130 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:11.130 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:11.130 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:11.130 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:11.130 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:11.130 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:11.131 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:11.131 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:11.132 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:11.132 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:11.132 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:11.132 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:11.132 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:11.133 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:11.133 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:11.133 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:11.133 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:11.133 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:11.134 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
